name,volumeId,volumeNumber,year
IEEE Access,volume::ieee access::2018::17,17,2018
Journal of Technology in Entrepreneurship and Strategic Management,volume::journal of technology in entrepreneurship and strategic management::2023::10,10,2023
IEEE Transactions on Geoscience and Remote Sensing,volume::ieee transactions on geoscience and remote sensing::2012::6,6,2012
eNeuro,volume::eneuro::2021::5,5,2021
Journal of The Experimental Analysis of Behavior,volume::journal of the experimental analysis of behavior::2019::7,7,2019
Strategic Journal of Business &amp; Change Management,volume::strategic journal of business &amp; change management::2018::3,3,2018
Biosensors & bioelectronics,volume::biosensors & bioelectronics::2021::6,6,2021
Criminal Justice Science &amp; Governance,volume::criminal justice science &amp; governance::2024::4,4,2024
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing","volume::ieee/acm international symposium on cluster, cloud and internet computing::2017::14",14,2017
Berhan International Research Journal of Science and Humanities,volume::berhan international research journal of science and humanities::2020::20,20,2020
International journal of multidisciplinary research and analysis,volume::international journal of multidisciplinary research and analysis::2025::9,9,2025
Cell Reports Medicine,volume::cell reports medicine::2022::17,17,2022
Konstanta : Jurnal Matematika dan Ilmu Pengetahuan Alam,volume::konstanta : jurnal matematika dan ilmu pengetahuan alam::2024::17,17,2024
Malaria Journal,volume::malaria journal::2009::19,19,2009
E-Commerce Letters,volume::e-commerce letters::2025::19,19,2025
ANCIENT LAND,volume::ancient land::2025::6,6,2025
International Conference on Machine Learning and Applications,volume::international conference on machine learning and applications::2022::7,7,2022
International Journal of Service Science Management Engineering and Technology,volume::international journal of service science management engineering and technology::2016::8,8,2016
Int. J. Distributed Sens. Networks,volume::int. j. distributed sens. networks::2009::16,16,2009
Cluster Computing,volume::cluster computing::2023::7,7,2023
ICEEG,volume::iceeg::2023::9,9,2023
East African Medical Journal,volume::east african medical journal::2014::2,2,2014
Korean Association of Public Safety and Criminal Justice,volume::korean association of public safety and criminal justice::2023::7,7,2023
Sociological research online,volume::sociological research online::2023::10,10,2023
Komatika: Jurnal Pengabdian Kepada Masyarakat,volume::komatika: jurnal pengabdian kepada masyarakat::2024::20,20,2024
Ultramicroscopy,volume::ultramicroscopy::2019::4,4,2019
Current Research in Food Science,volume::current research in food science::2022::19,19,2022
ALSYS,volume::alsys::2024::3,3,2024
Kurdish Studies,volume::kurdish studies::2022::8,8,2022
2017 IEEE International Conference on Big Data (Big Data),volume::2017 ieee international conference on big data (big data)::2017::8,8,2017
Ta'allum: Jurnal Pendidikan Islam,volume::ta'allum: jurnal pendidikan islam::2023::11,11,2023
Clinical Rheumatology,volume::clinical rheumatology::2014::6,6,2014
High Power Laser Science and Engineering,volume::high power laser science and engineering::2022::10,10,2022
Journal of Marketing Analytics,volume::journal of marketing analytics::2024::1,1,2024
IEEE Intelligent Systems,volume::ieee intelligent systems::2017::15,15,2017
International Conferences on Biomedical and Bioinformatics Engineering,volume::international conferences on biomedical and bioinformatics engineering::2022::16,16,2022
ARA: Revista de Investigación en Turismo,volume::ara: revista de investigación en turismo::2024::3,3,2024
Economie: Jurnal Ilmu Ekonomi,volume::economie: jurnal ilmu ekonomi::2020::14,14,2020
"2016 IEEE 2nd International Conference on Big Data Security on Cloud (BigDataSecurity), IEEE International Conference on High Performance and Smart Computing (HPSC), and IEEE International Conference on Intelligent Data and Security (IDS)","volume::2016 ieee 2nd international conference on big data security on cloud (bigdatasecurity), ieee international conference on high performance and smart computing (hpsc), and ieee international conference on intelligent data and security (ids)::2016::5",5,2016
J. Comput. Methods Sci. Eng.,volume::j. comput. methods sci. eng.::2023::1,1,2023
International Review of Economics &amp; Finance,volume::international review of economics &amp; finance::2024::13,13,2024
Socio-economic and humanitarian magazine,volume::socio-economic and humanitarian magazine::2024::13,13,2024
"International Conference on Communication, Computing & Security","volume::international conference on communication, computing & security::2023::4",4,2023
International Journal of Service Science Management Engineering and Technology,volume::international journal of service science management engineering and technology::2024::12,12,2024
J. Parallel Distributed Comput.,volume::j. parallel distributed comput.::2022::17,17,2022
Journal of Computing Sciences in Colleges (JCSC; Formerly: Journal of Computing in Small Colleges),volume::journal of computing sciences in colleges (jcsc; formerly: journal of computing in small colleges)::2016::8,8,2016
Operational Research,volume::operational research::2019::14,14,2019
Conference on Computer and Communications Security,volume::conference on computer and communications security::2015::13,13,2015
Vision: The Journal of Business Perspective,volume::vision: the journal of business perspective::2021::14,14,2021
Journal of Visualized Experiments,volume::journal of visualized experiments::2014::11,11,2014
Multimedia tools and applications,volume::multimedia tools and applications::2021::16,16,2021
International Conference on Wireless Communications and Mobile Computing,volume::international conference on wireless communications and mobile computing::2021::3,3,2021
Medicine,volume::medicine::2021::7,7,2021
Transactions on Computer Science and Intelligent Systems Research,volume::transactions on computer science and intelligent systems research::2025::1,1,2025
Computational Economics,volume::computational economics::2023::10,10,2023
Brain Science,volume::brain science::2023::15,15,2023
Journal of Decision Systems,volume::journal of decision systems::2017::13,13,2017
Materia socio-medica,volume::materia socio-medica::2021::12,12,2021
Journal of Applied Economic Sciences,volume::journal of applied economic sciences::2026::9,9,2026
Journal of Economics and Public Finance,volume::journal of economics and public finance::2024::20,20,2024
"International Convention on Information and Communication Technology, Electronics and Microelectronics","volume::international convention on information and communication technology, electronics and microelectronics::2016::9",9,2016
Interspeech,volume::interspeech::2020::9,9,2020
Panhellenic Conference on Informatics,volume::panhellenic conference on informatics::2018::17,17,2018
Research in Adaptive and Convergent Systems,volume::research in adaptive and convergent systems::2023::20,20,2023
International Conference on Smart Computing,volume::international conference on smart computing::2018::11,11,2018
International Journal of Information Technology and Computer Science Applications,volume::international journal of information technology and computer science applications::2024::11,11,2024
International Journal of Research Publication and Reviews,volume::international journal of research publication and reviews::2024::16,16,2024
Police Quarterly,volume::police quarterly::2023::13,13,2023
Acta paediatrica,volume::acta paediatrica::2007::18,18,2007
Journal of Global Information Management,volume::journal of global information management::2018::8,8,2018
BMC Health Services Research,volume::bmc health services research::2018::1,1,2018
MethodsX,volume::methodsx::2024::4,4,2024
Scientometrics,volume::scientometrics::2019::3,3,2019
Expert systems with applications,volume::expert systems with applications::2018::3,3,2018
Personal and Ubiquitous Computing,volume::personal and ubiquitous computing::2016::8,8,2016
IEEE Vehicular Technology Conference,volume::ieee vehicular technology conference::2023::10,10,2023
ANS. Advances in nursing science,volume::ans. advances in nursing science::2015::15,15,2015
Journal of Soft Computing and Data Mining,volume::journal of soft computing and data mining::2023::3,3,2023
Future Internet,volume::future internet::2020::19,19,2020
M/C Journal,volume::m/c journal::2023::12,12,2023
Scientometrics,volume::scientometrics::2024::3,3,2024
Photonics,volume::photonics::2026::14,14,2026
International Conference on Intelligent Computing and its Emerging Applications,volume::international conference on intelligent computing and its emerging applications::2021::13,13,2021
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2022::5,5,2022
Current Opinion in Ophthalmology,volume::current opinion in ophthalmology::2020::19,19,2020
Neurocomputing,volume::neurocomputing::2022::3,3,2022
International Journal of Advanced Computer Science and Applications,volume::international journal of advanced computer science and applications::2024::16,16,2024
Construction Innovation,volume::construction innovation::2025::8,8,2025
Microorganisms,volume::microorganisms::2023::12,12,2023
International Conference on Education and E-Learning,volume::international conference on education and e-learning::2021::10,10,2021
2014 16th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,volume::2014 16th international symposium on symbolic and numeric algorithms for scientific computing::2014::10,10,2014
Jurnal Greenation Sosial dan Politik,volume::jurnal greenation sosial dan politik::2025::10,10,2025
Frontiers in Computing and Intelligent Systems,volume::frontiers in computing and intelligent systems::2025::7,7,2025
IEEE Transactions on Knowledge and Data Engineering,volume::ieee transactions on knowledge and data engineering::2023::10,10,2023
IEEE Global Conference on Signal and Information Processing,volume::ieee global conference on signal and information processing::2016::17,17,2016
Journal of Technology Transfer,volume::journal of technology transfer::2023::19,19,2023
Journal of Mathematical Imaging and Vision,volume::journal of mathematical imaging and vision::2013::12,12,2013
Applied Mathematics and Nonlinear Sciences,volume::applied mathematics and nonlinear sciences::2024::20,20,2024
Journal of Family Medicine and Primary Care,volume::journal of family medicine and primary care::2023::10,10,2023
Digital Government Research,volume::digital government research::2013::10,10,2013
IEEE Access,volume::ieee access::2022::16,16,2022
ERJ Open Research,volume::erj open research::2022::20,20,2022
"International Conference on Electronics, Communications, and Computers","volume::international conference on electronics, communications, and computers::2016::5",5,2016
Cinta de Moebio: Revista de Epistemologia de Ciencias Sociales,volume::cinta de moebio: revista de epistemologia de ciencias sociales::2023::11,11,2023
Journal of Supercomputing,volume::journal of supercomputing::2019::19,19,2019
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2022::16,16,2022
Nature Computational Science,volume::nature computational science::2022::15,15,2022
Urban Governance,volume::urban governance::2025::13,13,2025
Environment and Planning B Urban Analytics and City Science,volume::environment and planning b urban analytics and city science::2026::20,20,2026
ACM Great Lakes Symposium on VLSI,volume::acm great lakes symposium on vlsi::2018::2,2,2018
Revista Española de Cardiología,volume::revista española de cardiología::2024::20,20,2024
Pattern Recognition,volume::pattern recognition::2020::11,11,2020
International Conference on Intelligent Information Processing,volume::international conference on intelligent information processing::2023::19,19,2023
Joint Urban Remote Sensing Event,volume::joint urban remote sensing event::2025::14,14,2025
Health Leadership and Quality of Life,volume::health leadership and quality of life::2023::1,1,2023
International Conference on Information Systems and Computer Aided Education,volume::international conference on information systems and computer aided education::2023::3,3,2023
Journal of community engagement and scholarship,volume::journal of community engagement and scholarship::2024::5,5,2024
Journal of Vision,volume::journal of vision::2024::8,8,2024
British Journal of Sports Medicine,volume::british journal of sports medicine::2013::3,3,2013
Ethiopian Journal of Health Sciences,volume::ethiopian journal of health sciences::2021::19,19,2021
Management Systems in Production Engineering,volume::management systems in production engineering::2024::2,2,2024
Baltic Journal of Economic Studies,volume::baltic journal of economic studies::2026::17,17,2026
International Symposium on Communications and Information Technologies,volume::international symposium on communications and information technologies::2016::15,15,2016
Geological and Mining Engineering,volume::geological and mining engineering::2023::20,20,2023
Annals of Agricultural and Environmental Medicine,volume::annals of agricultural and environmental medicine::2020::3,3,2020
ACM Conference on Hypertext & Social Media,volume::acm conference on hypertext & social media::2014::13,13,2014
ASIS&T Annual Meeting,volume::asis&t annual meeting::2013::19,19,2013
Nanoscale,volume::nanoscale::2022::20,20,2022
Evolutionary Studies in Imaginative Culture,volume::evolutionary studies in imaginative culture::2024::5,5,2024
IEEE International Symposium on High-Assurance Systems Engineering,volume::ieee international symposium on high-assurance systems engineering::2015::8,8,2015
Education Reform and Development,volume::education reform and development::2025::4,4,2025
Communications on Applied Nonlinear Analysis,volume::communications on applied nonlinear analysis::2024::4,4,2024
Statistical Papers,volume::statistical papers::2022::8,8,2022
Journal of Big Data,volume::journal of big data::2020::18,18,2020
Pakistan Journal of Scientific Research,volume::pakistan journal of scientific research::2025::19,19,2025
Dunakavics,volume::dunakavics::2025::16,16,2025
Hearing Research,volume::hearing research::1996::18,18,1996
ICAICE,volume::icaice::2024::14,14,2024
International Symposium on Information Processing in Sensor Networks,volume::international symposium on information processing in sensor networks::2018::5,5,2018
Signal Processing and Communications Applications Conference,volume::signal processing and communications applications conference::2020::5,5,2020
IEEE Custom Integrated Circuits Conference,volume::ieee custom integrated circuits conference::2018::1,1,2018
JCO Clinical Cancer Informatics,volume::jco clinical cancer informatics::2018::4,4,2018
Data in Brief,volume::data in brief::2021::3,3,2021
IEEE Network,volume::ieee network::2017::17,17,2017
National Remote Sensing Bulletin,volume::national remote sensing bulletin::2024::11,11,2024
Jurnal Teknologi Informasi dan Ilmu Komputer,volume::jurnal teknologi informasi dan ilmu komputer::2023::14,14,2023
Statistics and computing,volume::statistics and computing::2021::20,20,2021
PLoS ONE,volume::plos one::2020::2,2,2020
Nature Genetics,volume::nature genetics::2017::2,2,2017
Revista Eletrônica Multidisciplinar de Investigação Científica,volume::revista eletrônica multidisciplinar de investigação científica::2025::8,8,2025
Data Management for Sensor Networks,volume::data management for sensor networks::2010::6,6,2010
"Journal of Hospitality, Leisure, Sport &amp; Tourism Education","volume::journal of hospitality, leisure, sport &amp; tourism education::2024::2",2,2024
Frontiers in Oncology,volume::frontiers in oncology::2025::14,14,2025
Information Systems Frontiers,volume::information systems frontiers::2019::9,9,2019
Secur. Commun. Networks,volume::secur. commun. networks::2016::14,14,2016
Brain Tumor Research and Treatment,volume::brain tumor research and treatment::2022::13,13,2022
International Conference on Combinatorial Optimization and Applications,volume::international conference on combinatorial optimization and applications::2019::19,19,2019
Applied Soft Computing,volume::applied soft computing::2017::4,4,2017
International Conference on Web Information Systems and Technologies,volume::international conference on web information systems and technologies::2013::3,3,2013
Current Psychology,volume::current psychology::2022::14,14,2022
Computer Science and Application,volume::computer science and application::2023::20,20,2023
Journal of Cardiology,volume::journal of cardiology::2021::12,12,2021
Journal of child and adolescent psychopharmacology,volume::journal of child and adolescent psychopharmacology::2017::12,12,2017
BMC Surgery,volume::bmc surgery::2011::18,18,2011
Frontiers in Microbiology,volume::frontiers in microbiology::2017::14,14,2017
Diabetes,volume::diabetes::2024::17,17,2024
Physica medica (Testo stampato),volume::physica medica (testo stampato)::2019::19,19,2019
Clinical Implant Dentistry and Related Research,volume::clinical implant dentistry and related research::2009::5,5,2009
Zhonghua nei ke za zhi,volume::zhonghua nei ke za zhi::2016::13,13,2016
Foot & Ankle Orthopaedics,volume::foot & ankle orthopaedics::2022::9,9,2022
The Surgeon,volume::the surgeon::2015::11,11,2015
Zhonghua yi xue za zhi,volume::zhonghua yi xue za zhi::2022::20,20,2022
Archives of Internal Medicine,volume::archives of internal medicine::2006::8,8,2006
Journal of endourology,volume::journal of endourology::2008::18,18,2008
International Conference on Conceptual Structures,volume::international conference on conceptual structures::2012::4,4,2012
Annals of the Rheumatic Diseases,volume::annals of the rheumatic diseases::2007::6,6,2007
British medical journal,volume::british medical journal::1981::11,11,1981
Annals of Epidemiology,volume::annals of epidemiology::2022::19,19,2022
Proceedings of IEEE Virtual Reality Annual International Symposium,volume::proceedings of ieee virtual reality annual international symposium::1993::5,5,1993
International Conference on Computational Photography,volume::international conference on computational photography::2019::4,4,2019
Journal of the Indian Society of Remote Sensing,volume::journal of the indian society of remote sensing::2024::18,18,2024
Digital Health,volume::digital health::2024::4,4,2024
RSC Advances,volume::rsc advances::2021::12,12,2021
AIDS (London),volume::aids (london)::2015::12,12,2015
Journal of Infrastructure Policy and Development,volume::journal of infrastructure policy and development::2024::2,2,2024
American Journal of Gastroenterology,volume::american journal of gastroenterology::2023::11,11,2023
Laryngoscope Investigative Otolaryngology,volume::laryngoscope investigative otolaryngology::2022::7,7,2022
American Journal of Physiology. Regulatory Integrative and Comparative Physiology,volume::american journal of physiology. regulatory integrative and comparative physiology::2000::2,2,2000
American Journal of Physiology. Endocrinology and Metabolism,volume::american journal of physiology. endocrinology and metabolism::2013::11,11,2013
"Knee Surgery, Sports Traumatology, Arthroscopy","volume::knee surgery, sports traumatology, arthroscopy::2019::11",11,2019
Electronic Journal of Combinatorics,volume::electronic journal of combinatorics::2013::6,6,2013
Obesity Surgery,volume::obesity surgery::2011::16,16,2011
Heart Rhythm,volume::heart rhythm::2021::1,1,2021
Scientometrics,volume::scientometrics::2017::3,3,2017
American Journal of Clinical Nutrition,volume::american journal of clinical nutrition::1999::4,4,1999
Heliyon,volume::heliyon::2023::1,1,2023
Frontiers in Sports and Active Living,volume::frontiers in sports and active living::2024::15,15,2024
Brazilian Dental Journal,volume::brazilian dental journal::2012::4,4,2012
The International Journal of Tuberculosis and Lung Disease,volume::the international journal of tuberculosis and lung disease::2023::6,6,2023
Women and Birth,volume::women and birth::2017::8,8,2017
Virchows Archiv,volume::virchows archiv::2017::13,13,2017
Journal of Hospital Infection,volume::journal of hospital infection::1993::11,11,1993
Annals of Biomedical Engineering,volume::annals of biomedical engineering::2026::18,18,2026
Journal of Clinical Endocrinology and Metabolism,volume::journal of clinical endocrinology and metabolism::1999::3,3,1999
SIGGRAPH Emerging Technologies,volume::siggraph emerging technologies::2020::20,20,2020
American Journal of Epidemiology,volume::american journal of epidemiology::1985::10,10,1985
Moscow University Soil Science Bulletin,volume::moscow university soil science bulletin::2024::15,15,2024
British medical journal,volume::british medical journal::1997::20,20,1997
Annals of Agricultural and Environmental Medicine,volume::annals of agricultural and environmental medicine::2014::8,8,2014
Journal of Pain and Symptom Management,volume::journal of pain and symptom management::2008::7,7,2008
Journal of Chemical Physics,volume::journal of chemical physics::2013::10,10,2013
The Journal of Almaty Technological University,volume::the journal of almaty technological university::2023::11,11,2023
Environment International,volume::environment international::2013::11,11,2013
Spine,volume::spine::2016::3,3,2016
Journal of Maternal-Fetal & Neonatal Medicine,volume::journal of maternal-fetal & neonatal medicine::2009::8,8,2009
Revista Árvore,volume::revista árvore::2023::17,17,2023
International Journal of Gynecological Cancer,volume::international journal of gynecological cancer::2019::14,14,2019
Journal of Bacteriology,volume::journal of bacteriology::1952::5,5,1952
Cureus,volume::cureus::2023::16,16,2023
Europace,volume::europace::2005::17,17,2005
Space Weather,volume::space weather::2026::16,16,2026
Nursing management,volume::nursing management::2003::11,11,2003
The Web Conference,volume::the web conference::2003::13,13,2003
Journal of Oncology Pharmacy Practice,volume::journal of oncology pharmacy practice::2020::9,9,2020
Aging Clinical and Experimental Research,volume::aging clinical and experimental research::2018::5,5,2018
International Conference on Applied Human Factors and Ergonomics,volume::international conference on applied human factors and ergonomics::2019::15,15,2019
Investigative Genetics,volume::investigative genetics::2015::16,16,2015
JAMA psychiatry,volume::jama psychiatry::2014::10,10,2014
Climate Dynamics,volume::climate dynamics::2023::5,5,2023
Journal of Personalized Medicine,volume::journal of personalized medicine::2022::19,19,2022
Neurology,volume::neurology::2004::1,1,2004
Journal of Medical Internet Research,volume::journal of medical internet research::2016::20,20,2016
"Pediatric nephrology (Berlin, West)","volume::pediatric nephrology (berlin, west)::2008::13",13,2008
Investigative Ophthalmology and Visual Science,volume::investigative ophthalmology and visual science::2018::13,13,2018
Arctic and Alpine Research,volume::arctic and alpine research::1992::10,10,1992
Frontiers in Psychiatry,volume::frontiers in psychiatry::2020::9,9,2020
Medicina,volume::medicina::2025::9,9,2025
Human Movement Science,volume::human movement science::2015::9,9,2015
Journal of Early Christian Studies,volume::journal of early christian studies::2025::15,15,2025
Advanced Spine Journal,volume::advanced spine journal::2023::19,19,2023
Global academic journal of economics and business,volume::global academic journal of economics and business::2024::18,18,2024
Journal of Bone and Joint Surgery. American volume,volume::journal of bone and joint surgery. american volume::2010::10,10,2010
Obesity Surgery,volume::obesity surgery::2016::19,19,2016
Ecotoxicology and Environmental Safety,volume::ecotoxicology and environmental safety::2020::4,4,2020
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::2021::13,13,2021
La radiologia medica,volume::la radiologia medica::2017::18,18,2017
Behavioural Sleep Medicine,volume::behavioural sleep medicine::2023::4,4,2023
"Iraqi Journal of Computer, Communication, Control and System Engineering","volume::iraqi journal of computer, communication, control and system engineering::2023::7",7,2023
Proceedings of the American Thoracic Society,volume::proceedings of the american thoracic society::2006::19,19,2006
Clinical and Translational Allergy,volume::clinical and translational allergy::2020::8,8,2020
Scientific Reports,volume::scientific reports::2025::2,2,2025
The Foot,volume::the foot::2018::1,1,2018
Istanbul Journal of Economics / İstanbul İktisat Dergisi,volume::istanbul journal of economics / i̇stanbul i̇ktisat dergisi::2023::7,7,2023
"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.","volume::proceedings 2006 ieee international conference on robotics and automation, 2006. icra 2006.::2006::12",12,2006
Clinical Neurophysiology,volume::clinical neurophysiology::2014::8,8,2014
Remote Sensing,volume::remote sensing::2018::3,3,2018
International Conference on Enterprise Information Systems,volume::international conference on enterprise information systems::2004::14,14,2004
Gene,volume::gene::2009::16,16,2009
TELKA - Telekomunikasi Elektronika Komputasi dan Kontrol,volume::telka - telekomunikasi elektronika komputasi dan kontrol::2025::5,5,2025
Diabetes Research and Clinical Practice,volume::diabetes research and clinical practice::2004::9,9,2004
Indian Journal of Nephrology,volume::indian journal of nephrology::2013::14,14,2013
Journal of Trauma and Acute Care Surgery,volume::journal of trauma and acute care surgery::2020::8,8,2020
Journal of Bone and Mineral Metabolism,volume::journal of bone and mineral metabolism::2015::13,13,2015
Cancer Imaging,volume::cancer imaging::2022::6,6,2022
Langenbeck's archives of surgery (Print),volume::langenbeck's archives of surgery (print)::2016::14,14,2016
PLoS ONE,volume::plos one::2011::7,7,2011
Journal of NutriLife,volume::journal of nutrilife::2015::19,19,2015
Cardiovascular Intervention and Therapeutics,volume::cardiovascular intervention and therapeutics::2019::11,11,2019
Frontiers in Medicine,volume::frontiers in medicine::2025::16,16,2025
Endocrinology,volume::endocrinology::2012::12,12,2012
Orthopaedic Journal of Sports Medicine,volume::orthopaedic journal of sports medicine::2024::11,11,2024
Medical & Biological Engineering,volume::medical & biological engineering::1972::14,14,1972
European Journal of Nuclear Medicine and Molecular Imaging,volume::european journal of nuclear medicine and molecular imaging::2010::10,10,2010
Physical Therapy,volume::physical therapy::2013::4,4,2013
Biochemical and Biophysical Research Communications - BBRC,volume::biochemical and biophysical research communications - bbrc::2017::1,1,2017
Heart Failure Reviews,volume::heart failure reviews::2011::13,13,2011
Lighting Design + Application,volume::lighting design + application::2008::8,8,2008
Dental journal,volume::dental journal::2020::5,5,2020
Molecules,volume::molecules::2022::5,5,2022
Obesity Research and Clinical Practice,volume::obesity research and clinical practice::2015::18,18,2015
Digestive Diseases and Sciences,volume::digestive diseases and sciences::2003::10,10,2003
Mining Industry Journal (Gornay Promishlennost),volume::mining industry journal (gornay promishlennost)::2024::11,11,2024
Journal of Economic Inequality,volume::journal of economic inequality::2025::16,16,2025
Journal of Financial Research,volume::journal of financial research::1998::7,7,1998
Intensive Care Medicine,volume::intensive care medicine::2002::13,13,2002
Journal of Oncology,volume::journal of oncology::2022::16,16,2022
American Journal of Cardiology,volume::american journal of cardiology::1983::9,9,1983
The Annals of Pharmacotherapy,volume::the annals of pharmacotherapy::2014::16,16,2014
Journal of Comparative Pathology,volume::journal of comparative pathology::1994::5,5,1994
Scientific Reports,volume::scientific reports::2017::18,18,2017
International Journal of Environment and Climate Change,volume::international journal of environment and climate change::2023::5,5,2023
High Altitude Medicine & Biology,volume::high altitude medicine & biology::2025::15,15,2025
Journal of Cardiology,volume::journal of cardiology::2014::9,9,2014
Entropy,volume::entropy::2020::15,15,2020
PLoS ONE,volume::plos one::2014::12,12,2014
Astrophysical Journal,volume::astrophysical journal::2026::1,1,2026
"Transactions of the educational establishment ""Vitebsk the Order of ""the Badge of Honor"" State Academy of Veterinary Medicine","volume::transactions of the educational establishment ""vitebsk the order of ""the badge of honor"" state academy of veterinary medicine::2025::5",5,2025
Comparative Studies in Society and History,volume::comparative studies in society and history::2025::8,8,2025
Aesthetic Plastic Surgery,volume::aesthetic plastic surgery::2007::9,9,2007
BMC Research Notes,volume::bmc research notes::2012::9,9,2012
Eurasian journal of applied biotechnology,volume::eurasian journal of applied biotechnology::2024::9,9,2024
Remote Sensing,volume::remote sensing::2020::1,1,2020
EuroHaptics,volume::eurohaptics::2016::15,15,2016
Front. Neuroinform.,volume::front. neuroinform.::2016::7,7,2016
Skin Pharmacology,volume::skin pharmacology::1992::7,7,1992
Emergent Materials,volume::emergent materials::2024::8,8,2024
Journal of Clinical Endocrinology and Metabolism,volume::journal of clinical endocrinology and metabolism::2005::3,3,2005
European Heart Journal,volume::european heart journal::2025::7,7,2025
ASAIO journal (1992),volume::asaio journal (1992)::2016::12,12,2016
Endocrinology,volume::endocrinology::2019::19,19,2019
Lipids in Health and Disease,volume::lipids in health and disease::2006::16,16,2006
International journal of pharmaceutics,volume::international journal of pharmaceutics::2019::12,12,2019
Applied Sciences,volume::applied sciences::2024::18,18,2024
Journal of Stroke & Cerebrovascular Diseases,volume::journal of stroke & cerebrovascular diseases::2006::2,2,2006
Frontiers in Aging Neuroscience,volume::frontiers in aging neuroscience::2016::5,5,2016
Journal of the American Society of Echocardiography,volume::journal of the american society of echocardiography::2010::11,11,2010
Pathogens,volume::pathogens::2024::14,14,2024
Frontiers in Public Health,volume::frontiers in public health::2023::20,20,2023
Medical Journal of The Islamic Republic of Iran,volume::medical journal of the islamic republic of iran::2024::16,16,2024
American Journal of Clinical Nutrition,volume::american journal of clinical nutrition::2007::20,20,2007
Secur. Commun. Networks,volume::secur. commun. networks::2018::17,17,2018
BMC Musculoskeletal Disorders,volume::bmc musculoskeletal disorders::2024::4,4,2024
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::1999::14,14,1999
The Journal of Nursery Education,volume::the journal of nursery education::2022::4,4,2022
Cell & Bioscience,volume::cell & bioscience::2024::11,11,2024
Environmental Research Communications,volume::environmental research communications::2023::13,13,2023
Medicine,volume::medicine::2026::17,17,2026
International Dental Journal,volume::international dental journal::2003::13,13,2003
Journal of Cancer Research and Clinical Oncology,volume::journal of cancer research and clinical oncology::2014::5,5,2014
International Journal of Information Technology and Web Engineering,volume::international journal of information technology and web engineering::2006::11,11,2006
Trials,volume::trials::2020::13,13,2020
Journal of Aerosol Medicine,volume::journal of aerosol medicine::2012::13,13,2012
Journal of Project Management Practice,volume::journal of project management practice::2022::10,10,2022
Wiadomości Statystyczne. The Polish Statistician,volume::wiadomości statystyczne. the polish statistician::2011::5,5,2011
Frontiers in Human Neuroscience,volume::frontiers in human neuroscience::2015::19,19,2015
Journal of Alternative and Complementary Medicine,volume::journal of alternative and complementary medicine::2016::14,14,2016
Frontiers in Physiology,volume::frontiers in physiology::2021::8,8,2021
Highlights in Science Engineering and Technology,volume::highlights in science engineering and technology::2024::8,8,2024
Injury,volume::injury::2015::15,15,2015
New England Journal of Medicine,volume::new england journal of medicine::2021::20,20,2021
Clinical Medicine Insights: Reproductive Health,volume::clinical medicine insights: reproductive health::2016::17,17,2016
Brain Injury,volume::brain injury::2009::13,13,2009
Frontiers in Psychology,volume::frontiers in psychology::2022::2,2,2022
Hematology,volume::hematology::2015::8,8,2015
American Journal of Cardiology,volume::american journal of cardiology::2010::14,14,2010
BJU International,volume::bju international::2012::17,17,2012
Journal of Trauma and Acute Care Surgery,volume::journal of trauma and acute care surgery::2017::18,18,2017
Frontiers in Physiology,volume::frontiers in physiology::2018::10,10,2018
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2019::11,11,2019
Circulation,volume::circulation::1999::16,16,1999
Journal of Nutritional Science and Vitaminology,volume::journal of nutritional science and vitaminology::2015::13,13,2015
PLoS ONE,volume::plos one::2011::16,16,2011
Journal of the American Medical Association (JAMA),volume::journal of the american medical association (jama)::2020::1,1,2020
British Journal of Nutrition,volume::british journal of nutrition::2011::6,6,2011
American Journal of Epidemiology,volume::american journal of epidemiology::2014::16,16,2014
Agroforestry Systems,volume::agroforestry systems::2023::17,17,2023
Bulletin of entomological research,volume::bulletin of entomological research::2009::12,12,2009
Archives of gerontology and geriatrics (Print),volume::archives of gerontology and geriatrics (print)::2021::13,13,2021
Medicinal chemistry,volume::medicinal chemistry::2006::9,9,2006
Proceedings 11th Australasian Database Conference. ADC 2000 (Cat. No.PR00528),volume::proceedings 11th australasian database conference. adc 2000 (cat. no.pr00528)::2000::13,13,2000
Applied Sciences,volume::applied sciences::2024::10,10,2024
"International Conference on Biometrics: Theory, Applications and Systems","volume::international conference on biometrics: theory, applications and systems::2012::19",19,2012
Frontiers in Neuroscience,volume::frontiers in neuroscience::2021::1,1,2021
Global Heart,volume::global heart::2024::1,1,2024
Agriculture,volume::agriculture::2023::3,3,2023
Journal of Sleep Research,volume::journal of sleep research::2014::3,3,2014
Cancer Research,volume::cancer research::2006::7,7,2006
PLoS ONE,volume::plos one::2023::5,5,2023
