journalId,name
journal::journal of nutritional science and vitaminology,Journal of Nutritional Science and Vitaminology
journal::british journal of nutrition,British Journal of Nutrition
journal::agroforestry systems,Agroforestry Systems
journal::bulletin of entomological research,Bulletin of entomological research
journal::archives of gerontology and geriatrics (print),Archives of gerontology and geriatrics (Print)
journal::medicinal chemistry,Medicinal chemistry
journal::proceedings 11th australasian database conference. adc 2000 (cat. no.pr00528),Proceedings 11th Australasian Database Conference. ADC 2000 (Cat. No.PR00528)
"journal::international conference on biometrics: theory, applications and systems","International Conference on Biometrics: Theory, Applications and Systems"
journal::frontiers in neuroscience,Frontiers in Neuroscience
journal::global heart,Global Heart
journal::journal of sleep research,Journal of Sleep Research
journal::international journal of obesity,International Journal of Obesity
journal::arthroscopy: the journal of arthroscopy and related,Arthroscopy: The Journal of Arthroscopy And Related
journal::journal of the cardiometabolic syndrome,Journal of the CardioMetabolic Syndrome
journal::modern rheumatology,Modern Rheumatology
journal::clinical optometry,Clinical Optometry
journal::annals of translational medicine,Annals of Translational Medicine
journal::the european physical journal special topics,The European Physical Journal Special Topics
journal::european journal of operational research,European Journal of Operational Research
journal::ulusal travma ve acil cerrahi dergisi-turkish journal of trauma & emergency surgery,Ulusal Travma Ve Acil Cerrahi Dergisi-turkish Journal of Trauma & Emergency Surgery
journal::biological psychiatry,Biological Psychiatry
journal::sexually transmitted diseases,Sexually Transmitted Diseases
journal::circulation journal,Circulation Journal
journal::journal for the study of the old testament,Journal for the Study of the Old Testament
journal::journal of clinical epidemiology,Journal of Clinical Epidemiology
journal::journal of geophysical research: space physics,Journal of Geophysical Research: Space Physics
journal::international journal of academic research in economics and management sciences,International Journal of Academic Research in Economics and Management Sciences
journal::optics express,Optics Express
journal::gastroenterology research and practice,Gastroenterology Research and Practice
journal::lex localis - journal of local self-government,Lex localis - Journal of Local Self-Government
journal::ieee transactions on communications,IEEE Transactions on Communications
journal::critical care,Critical Care
journal::the international journal of cardiovascular imaging,The International Journal of Cardiovascular Imaging
journal::jurnal perspektif pembiayaan dan pembangunan daerah,Jurnal Perspektif Pembiayaan dan Pembangunan Daerah
journal::british journal of ophthalmology,British Journal of Ophthalmology
journal::star protocols,STAR Protocols
journal::f&s reports,F&S Reports
journal::archives of disease in childhood,Archives of Disease in Childhood
journal::neonatology,Neonatology
journal::neuroradiology,Neuroradiology
journal::siam journal on discrete mathematics,SIAM Journal on Discrete Mathematics
journal::current reviews in musculoskeletal medicine,Current Reviews in Musculoskeletal Medicine
journal::neuropsychiatric disease and treatment,Neuropsychiatric Disease and Treatment
journal::atherosclerosis,Atherosclerosis
journal::journal of the american academy of child and adolescent psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry
journal::european journal of medicinal chemistry,European journal of medicinal chemistry
journal::brics law journal,BRICS Law Journal
journal::information management and business review,Information Management and Business Review
journal::2014 ieee geoscience and remote sensing symposium,2014 IEEE Geoscience and Remote Sensing Symposium
journal::front. endocrin.,Front. Endocrin.
journal::communications biology,Communications Biology
journal::modern language review,Modern Language Review
journal::homo : internationale zeitschrift fur die vergleichende forschung am menschen,Homo : internationale Zeitschrift fur die vergleichende Forschung am Menschen
journal::current rheumatology reviews,Current Rheumatology Reviews
journal::nutrients,Nutrients
journal::insights-journal of health and rehabilitation,Insights-Journal of Health and Rehabilitation
journal::materials,Materials
journal::językoznawstwo,Językoznawstwo
"journal::highlights in business, economics and management","Highlights in Business, Economics and Management"
journal::mathematical methods in the applied sciences,Mathematical methods in the applied sciences
journal::asian pacific journal of allergy and immunology,Asian Pacific Journal of Allergy and Immunology
journal::corporate law & governance review,Corporate Law & Governance Review
journal::journal of geophysics and engineering,Journal of Geophysics and Engineering
journal::journal of electrocardiology,Journal of Electrocardiology
journal::fermentation,Fermentation
journal::aerospace,Aerospace
journal::methods,Methods
journal::statistics and economics,Statistics and Economics
journal::british journal of cancer,British Journal of Cancer
journal::global spine journal,Global Spine Journal
journal::scandinavian journal of pain,Scandinavian Journal of Pain
journal::age and ageing,Age and Ageing
journal::frontiers in cardiovascular medicine,Frontiers in Cardiovascular Medicine
journal::sexual medicine,Sexual Medicine
journal::molecular cancer research,Molecular Cancer Research
journal::veterinary research,Veterinary Research
journal::reviews on recent clinical trials,Reviews on recent clinical trials
journal::forests,Forests
journal::cardiology in the young,Cardiology in the Young
journal::computers & electrical engineering,Computers & electrical engineering
journal::jurnal biologi tropis,JURNAL BIOLOGI TROPIS
journal::pedagogy. theory &amp; practice,Pedagogy. Theory &amp; Practice
journal::chest,Chest
journal::world journal of gastroenterology,World Journal of Gastroenterology
journal::chronobiology international,Chronobiology International
journal::spinal cord,Spinal Cord
journal::se pu = chinese journal of chromatography,Se pu = Chinese journal of chromatography
journal::archives italiennes de biologie,Archives Italiennes de Biologie
journal::journal of experimental orthopaedics,Journal of Experimental Orthopaedics
journal::chemistry,Chemistry
"journal::international journal of economics, commerce and management","International Journal of Economics, Commerce and Management"
journal::optics communications,Optics Communications
journal::clinical and applied thrombosis/hemostasis,Clinical and applied thrombosis/hemostasis
journal::the korean journal of internal medicine,The Korean Journal of Internal Medicine
journal::journal of human hypertension,Journal of Human Hypertension
journal::science,Science
journal::technology analysis & strategic management,Technology Analysis & Strategic Management
journal::heart and vessels,Heart and Vessels
journal::phytomedicine,Phytomedicine
journal::hiv/aids,HIV/AIDS
journal::journal of zhejiang university: science a,Journal of Zhejiang University: Science A
journal::hormone and metabolic research,Hormone and Metabolic Research
journal::thrombosis research,Thrombosis Research
journal::jbi library of systematic reviews,JBI library of systematic reviews
journal::database security,Database Security
journal::jbmr plus,JBMR Plus
journal::carbohydrate research,Carbohydrate Research
journal::european journal of clinical nutrition,European Journal of Clinical Nutrition
journal::canadian association of radiologists journal = journal l'association canadienne des radiologistes,Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes
journal::urology,Urology
journal::journal of cardiovascular magnetic resonance,Journal of Cardiovascular Magnetic Resonance
