venueId,name
datenschutz und datensicherheit - dud,Datenschutz und Datensicherheit - DuD
seminars in medical writing and education,Seminars in Medical Writing and Education
frontiers of international accounting,Frontiers of International Accounting
international conference on interaction sciences,International Conference on Interaction Sciences
indonesian journal of oceanography,Indonesian Journal of Oceanography
eurasian journal of business and management,Eurasian Journal of Business and Management
jurnal kawruh abiyasa,Jurnal Kawruh Abiyasa
international conference on advanced infocomm technology,International Conference on Advanced Infocomm Technology
management of education,Management of Education
jurnal muria research guidance and counseling (mrgc),Jurnal Muria Research Guidance and Counseling (MRGC)
innovative materials and technologies in metallurgy and mechanical engineering,Innovative Materials and Technologies in Metallurgy and Mechanical Engineering
"international journal of economics, management and accounting","International Journal of Economics, Management and Accounting"
international conference on intelligent computing,International Conference on Intelligent Computing
2022 international conference on advanced creative networks and intelligent systems (icacnis),2022 International Conference on Advanced Creative Networks and Intelligent Systems (ICACNIS)
methods in ecology and evolution,Methods in Ecology and Evolution
international journal of social science and human research,International journal of social science and human research
advanced industrial conference on telecommunications,Advanced Industrial Conference on Telecommunications
journal of ecology and the natural environment,Journal of Ecology and the Natural Environment
2023 international conference on information processing and network provisioning (icipnp),2023 International Conference on Information Processing and Network Provisioning (ICIPNP)
international journal of advanced research in technology and innovation,International Journal of Advanced Research in Technology and Innovation
leisure sports and health,Leisure Sports and Health
the monitoring of public opinion economic&amp;social changes,The monitoring of public opinion economic&amp;social changes
el profesional de la informacion,El Profesional de la Informacion
2023 18th international joint symposium on artificial intelligence and natural language processing (isai-nlp),2023 18th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP)
csid journal of infrastructure development,CSID Journal of Infrastructure Development
journal of advances in developmental research,Journal of Advances in Developmental Research
acoustics,Acoustics
frontiers artif. intell.,Frontiers Artif. Intell.
"2021 international conference on system, computation, automation and networking (icscan)","2021 International Conference on System, Computation, Automation and Networking (ICSCAN)"
innovations in systems and software engineering,Innovations in Systems and Software Engineering
tehnički vjesnik,Tehnički Vjesnik
international journal of advanced academic studies,International Journal of Advanced Academic Studies
journal of economic policy reform,Journal of Economic Policy Reform
journal of geographical science,Journal of Geographical Science
mimbar ilmu,Mimbar Ilmu
genetika,Genetika
conference on information security and cryptology,Conference on Information Security and Cryptology
international journal of industrial and systems engineering,International Journal of Industrial and Systems Engineering
anais do workshop de computação urbana (courb 2020),Anais do Workshop de Computação Urbana (CoUrb 2020)
"proceedings of the 3rd international conference on mathematical statistics and economic analysis, msea 2024, may 24–26, 2024, jinan, china","Proceedings of the 3rd International Conference on Mathematical Statistics and Economic Analysis, MSEA 2024, May 24–26, 2024, Jinan, China"
frontiers in built environment,Frontiers in Built Environment
journal of korean institute of intelligent systems,Journal of Korean institute of intelligent systems
statistics in biosciences,Statistics in Biosciences
iteckne,Iteckne
"international conferences on computers, information processing and advanced education","International Conferences on Computers, Information Processing and Advanced Education"
"proceedings of the 4th edition of international conference on geo-it and water resources 2020, geo-it and water resources 2020","Proceedings of the 4th Edition of International Conference on Geo-IT and Water Resources 2020, Geo-IT and Water Resources 2020"
research on computing science,Research on computing science
reliability and maintainability symposium,Reliability and Maintainability Symposium
global communications conference,Global Communications Conference
jurnal global & strategis,Jurnal Global & Strategis
30 years of independent macedonian state,30 YEARS OF INDEPENDENT MACEDONIAN STATE
scientia,Scientia
biomedical signal processing and control,Biomedical Signal Processing and Control
european research studies journal,EUROPEAN RESEARCH STUDIES JOURNAL
sql server big data clusters,SQL Server Big Data Clusters
international journal of continuing engineering education and life-long learning,International Journal of Continuing Engineering Education and Life-Long Learning
health research policy and systems,Health Research Policy and Systems
the k association of education research,The K Association of Education Research
journal of advanced research in dynamical and control systems,Journal of Advanced Research in Dynamical and Control Systems
amerikastudien/american studies,Amerikastudien/American Studies
iet systems biology,IET Systems Biology
"computers, environment and urban systems","Computers, Environment and Urban Systems"
jurnal ekonomika dan bisnis (jebs),Jurnal Ekonomika Dan Bisnis (JEBS)
asia-pacific journal of information technology and multimedia,Asia-Pacific Journal of Information Technology and Multimedia
menoufia medical journal,Menoufia Medical Journal
2021 international conference on public management and intelligent society (pmis),2021 International Conference on Public Management and Intelligent Society (PMIS)
hematology,Hematology
journal of computing theories and applications,Journal of Computing Theories and Applications
international journal of information and communication technology,International Journal of Information and Communication Technology
education sciences,Education sciences
international journal of big data intelligent technology,International Journal of Big Data Intelligent Technology
international conference on big data research,International Conference on Big Data Research
strategica,Strategica
journal of health administration,Journal of Health Administration
student journal of social work,Student Journal of Social Work
international conference on information management and technology,International Conference on Information Management and Technology
theoretical and applied issues of economics,THEORETICAL AND APPLIED ISSUES OF ECONOMICS
revista científica anfibios,Revista científica anfibios
ieee north atlantic test workshop,IEEE North Atlantic Test Workshop
nov/dec 2014,Nov/Dec 2014
journal of quantitative and statistical analysis,Journal of Quantitative and Statistical Analysis
international scientific conference eraz - knowledge based sustainable development,International Scientific Conference ERAZ - Knowledge Based Sustainable Development
the journal of the korea institute of intelligent transport systems,The Journal of The Korea Institute of Intelligent Transport Systems
international conference on advanced information networking and applications,International Conference on Advanced Information Networking and Applications
2023 ieee international conference on integrated circuits and communication systems (icicacs),2023 IEEE International Conference on Integrated Circuits and Communication Systems (ICICACS)
journal of system and management sciences,Journal of system and management sciences
animal production science,Animal Production Science
"user modeling, adaptation, and personalization","User Modeling, Adaptation, and Personalization"
linguistik : jurnal bahasa dan sastra,LINGUISTIK : Jurnal Bahasa dan Sastra
electronic scientific journal intellectualization of logistics and supply chain management #1 2020,Electronic Scientific Journal Intellectualization of Logistics and Supply Chain Management #1 2020
frontiers in genetics,Frontiers in Genetics
quantitative economics and management studies,Quantitative Economics and Management Studies
international journal of engineering sciences & research technology,International journal of engineering sciences & research technology
african journal of research in mathematics science and technology education,African Journal of Research in Mathematics Science and Technology Education
jurnal administrasi bisnis,Jurnal administrasi bisnis
big data analytics for entrepreneurial success,Big Data Analytics for Entrepreneurial Success
discrete dynamics in nature and society,Discrete Dynamics in Nature and Society
ecography,Ecography
nature nanotechnology,Nature Nanotechnology
international journal of community well-being,International Journal of Community Well-Being
journal of clinical pathology,Journal of Clinical Pathology
data spaces,Data Spaces
itm web of conferences,ITM Web of Conferences
australian occupational therapy journal,Australian Occupational Therapy Journal
frontiers in computing and intelligent systems,Frontiers in Computing and Intelligent Systems
journal of the chinese medical association,Journal of the Chinese Medical Association
practical applications of agents and multi-agent systems,Practical Applications of Agents and Multi-Agent Systems
european journal of communication,European Journal of Communication
audit financiar,Audit Financiar
international conference on computer science and application engineering,International Conference on Computer Science and Application Engineering
2024 ninth junior conference on lighting (lighting),2024 Ninth Junior Conference on Lighting (Lighting)
journal of agricultural science and technology,Journal of Agricultural Science and Technology
international journal of research and scientific innovation,International journal of research and scientific innovation
translational pediatrics,Translational Pediatrics
doctoral symposium on intelligence enabled research,Doctoral Symposium on Intelligence Enabled Research
international journal for multidisciplinary research,International Journal For Multidisciplinary Research
biodata mining,BioData Mining
"isprs annals of the photogrammetry, remote sensing and spatial information sciences","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences"
springer series in advanced manufacturing,Springer Series in Advanced Manufacturing
2024 5th international conference on data intelligence and cognitive informatics (icdici),2024 5th International Conference on Data Intelligence and Cognitive Informatics (ICDICI)
international journal of pattern recognition and artificial intelligence,International journal of pattern recognition and artificial intelligence
kindai,KINDAI
cognitive sciences,Cognitive Sciences
tuijin jishu/journal of propulsion technology,Tuijin Jishu/Journal of Propulsion Technology
rusi journal,RUSI Journal
the korean association of ngo studies (kangos),The Korean Association of NGO Studies (KANGOS)
an-nida : jurnal komunikasi islam,An-Nida : Jurnal Komunikasi Islam
efmi special topic conference,EFMI Special Topic Conference
south african journal of science,South African Journal of Science
conference on artificial intelligence in medicine in europe,Conference on Artificial Intelligence in Medicine in Europe
agrifitia journal of agribusiness plantation,AGRIFITIA Journal of Agribusiness Plantation
advances in engineering technology research,Advances in Engineering Technology Research
2024 sixth international conference neurotechnologies and neurointerfaces (cnn),2024 Sixth International Conference Neurotechnologies and Neurointerfaces (CNN)
vascular pharmacology,Vascular pharmacology
"2020 ieee international conference on power, intelligent computing and systems (icpics)","2020 IEEE International Conference on Power, Intelligent Computing and Systems (ICPICS)"
international journal of integrated care,International Journal of Integrated Care
child &amp; youth services,Child &amp; Youth Services
2023 5th international conference on applied machine learning (icaml),2023 5th International Conference on Applied Machine Learning (ICAML)
canadian journal of emergency nursing,Canadian Journal of Emergency Nursing
uncertain supply chain management,Uncertain Supply Chain Management
studies in big data,Studies in Big Data
"legal order: history, theory, practice","LEGAL ORDER: History, Theory, Practice"
acta crystallographica section a: foundations and advances,Acta Crystallographica Section A: Foundations and Advances
european conference on knowledge management,European Conference on Knowledge Management
"computers, informatics, nursing","Computers, Informatics, Nursing"
incose international symposium,INCOSE International Symposium
university of khanh hoa journal of science,University of Khanh Hoa Journal of Science
journal of the bulgarian geographical society,Journal of the Bulgarian Geographical Society
international journal of science and research archive,International Journal of Science and Research Archive
controlling & management review,Controlling & Management Review
"international symposium on networks, computers and communications","International Symposium on Networks, Computers and Communications"
вісник економіки транспорту і промисловості,Вісник економіки транспорту і промисловості
el-mashlahah,eL-Mashlahah
journal of tourism and gastronomy studies,Journal of Tourism and Gastronomy Studies
"2022 ieee smartworld, ubiquitous intelligence & computing, scalable computing & communications, digital twin, privacy computing, metaverse, autonomous & trusted vehicles (smartworld/uic/scalcom/digitaltwin/pricomp/meta)","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)"
journal of information & knowledge management,Journal of Information & Knowledge Management
вестник образования и развития науки российской академии естественных наук,ВЕСТНИК ОБРАЗОВАНИЯ И РАЗВИТИЯ НАУКИ РОССИЙСКОЙ АКАДЕМИИ ЕСТЕСТВЕННЫХ НАУК
"cognition, technology & work","Cognition, Technology & Work"
artificial intelligence in intelligent systems,Artificial Intelligence in Intelligent Systems
cooperative strategy,Cooperative Strategy
investigative and clinical urology,Investigative and Clinical Urology
indian journal of social science and literature,Indian Journal of Social Science and Literature
eaae annual conference proceedings,EAAE Annual Conference Proceedings
rayah al-islam,Rayah Al-Islam
künstliche intelligenz im gesundheitswesen,Künstliche Intelligenz im Gesundheitswesen
technologies and applications for big data value,Technologies and Applications for Big Data Value
knowledge-based systems,Knowledge-Based Systems
computer science in cars symposium,Computer Science in Cars Symposium
the brain &amp; neural networks,The Brain &amp; Neural Networks
management strategies and policies in the contemporary economy,Management Strategies and Policies in the Contemporary Economy
2020 ieee 3rd international conference on computer and communication engineering technology (ccet),2020 IEEE 3rd International Conference on Computer and Communication Engineering Technology (CCET)
proceedings of the 40th international symposium on automation and robotics in construction,Proceedings of the 40th International Symposium on Automation and Robotics in Construction
industrial marketing management,Industrial Marketing Management
mathematics,Mathematics
the lancet,The Lancet
public health genomics,Public Health Genomics
business navigator,Business Navigator
marriage and family review,Marriage and Family Review
journal of geophysical research,Journal of Geophysical Research
astronomy letters,Astronomy letters
international conference on machine learning and computing,International Conference on Machine Learning and Computing
journal of organizational and end user computing,Journal of Organizational and End User Computing
"2022 2nd international conference on networking, communications and information technology (netcit)","2022 2nd International Conference on Networking, Communications and Information Technology (NetCIT)"
danube,Danube
jurnal saintifik (multi science journal),Jurnal Saintifik (Multi Science Journal)
international conference on artificial neural networks,International Conference on Artificial Neural Networks
annals of operations research,Annals of Operations Research
"2023 4th international conference on computer, big data and artificial intelligence (iccbd+ai)","2023 4th International Conference on Computer, Big Data and Artificial Intelligence (ICCBD+AI)"
strategic change,Strategic Change
ieee wireless communications and networking conference,IEEE Wireless Communications and Networking Conference
2024 5th international conference on big data & artificial intelligence & software engineering (icbase),2024 5th International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE)
bmc medical ethics,BMC Medical Ethics
meteorological applications,Meteorological Applications
gradient acceptability and linguistic theory,Gradient Acceptability and Linguistic Theory
lexonomica,Lexonomica
przeglad socjologii jakosciowej,Przeglad Socjologii Jakosciowej
"international conference on electronics, information and communications","International Conference on Electronics, Information and Communications"
international conference on applied computational intelligence and analytics (acia-2022),INTERNATIONAL CONFERENCE ON APPLIED COMPUTATIONAL INTELLIGENCE AND ANALYTICS (ACIA-2022)
international journal of inventive engineering and sciences,International Journal of Inventive Engineering and Sciences
international conference on cryptography and security systems,International Conference on Cryptography and Security Systems
computing and communication workshop and conference,Computing and Communication Workshop and Conference
journal of korea planning association,Journal of Korea Planning Association
rsf,RSF
ieee/acm transactions on computational biology & bioinformatics,IEEE/ACM Transactions on Computational Biology & Bioinformatics
photonics europe,Photonics Europe
academic perspective procedia,Academic Perspective Procedia
bioessays,Bioessays
international journal of innovative research in advanced engineering,International Journal of Innovative Research in Advanced Engineering
international conference on cloud and big data computing,International Conference on Cloud and Big Data Computing
journal of ict systems,Journal of ICT Systems
bdeim,BDEIM
konselor,Konselor
"information, communication &amp; society","Information, Communication &amp; Society"
2021 6th international conference for convergence in technology (i2ct),2021 6th International Conference for Convergence in Technology (I2CT)
網際網路技術學刊,網際網路技術學刊
2021 international conference on aviation safety and information technology,2021 International Conference on Aviation Safety and Information Technology
2020 ieee 6th international conference on computer and communications (iccc),2020 IEEE 6th International Conference on Computer and Communications (ICCC)
physical communication,Physical Communication
secur. commun. networks,Secur. Commun. Networks
register journal of english language teaching of fbs-unimed,REGISTER Journal of English Language Teaching of FBS-Unimed
contribuciones a la economía,Contribuciones a la Economía
"international journal of business, management and economics","International Journal of Business, Management and Economics"
molecular and cellular biology / genetics,Molecular and Cellular Biology / Genetics
physica medica (testo stampato),Physica medica (Testo stampato)
the handbook of china's financial system,The Handbook of China's Financial System
journal of plant nutrition,Journal of plant nutrition
zhonghua yi xue za zhi,Zhonghua yi xue za zhi
journal of the institution of engineers (india) series d,Journal of The Institution of Engineers (India) Series D
annals of epidemiology,Annals of Epidemiology
international conference on computational photography,International Conference on Computational Photography
the future life of trauma,The Future Life of Trauma
"saturday, 15 june 2019","SATURDAY, 15 JUNE 2019"
journal of the indian society of remote sensing,Journal of the Indian Society of Remote Sensing
digital health,Digital Health
rsc advances,RSC Advances
laryngoscope investigative otolaryngology,Laryngoscope Investigative Otolaryngology
"knee surgery, sports traumatology, arthroscopy","Knee Surgery, Sports Traumatology, Arthroscopy"
heart rhythm,Heart Rhythm
journal of urbanism: international research on placemaking and urban sustainability,Journal of Urbanism: International Research on Placemaking and Urban Sustainability
life after privacy,Life after Privacy
"proceedings of the 48th international academic conference, copenhagen","Proceedings of the 48th International Academic Conference, Copenhagen"
the international journal of tuberculosis and lung disease,The International Journal of Tuberculosis and Lung Disease
landslides,Landslides
optical and quantum electronics,Optical and quantum electronics
siggraph emerging technologies,SIGGRAPH Emerging Technologies
moscow university soil science bulletin,Moscow University Soil Science Bulletin
journal of neuroengineering and rehabilitation,Journal of NeuroEngineering and Rehabilitation
the journal of almaty technological university,The Journal of Almaty Technological University
in the shadow of the epidemic,In the Shadow of the Epidemic
chen yi,Chen Yi
revista árvore,Revista Árvore
international conference on applied human factors and ergonomics,International Conference on Applied Human Factors and Ergonomics
climate dynamics,Climate Dynamics
journal of personalized medicine,Journal of Personalized Medicine
frontiers in psychiatry,Frontiers in Psychiatry
modern network technologies,Modern Network technologies
advanced spine journal,Advanced Spine Journal
global academic journal of economics and business,Global academic journal of economics and business
definitions,Definitions
akuntabilitas,Akuntabilitas
behavioural sleep medicine,Behavioural Sleep Medicine
"iraqi journal of computer, communication, control and system engineering","Iraqi Journal of Computer, Communication, Control and System Engineering"
clinical and translational allergy,Clinical and Translational Allergy
international conference on optoelectronic and microelectronic technology and application,International Conference on Optoelectronic and Microelectronic Technology and Application
istanbul journal of economics / i̇stanbul i̇ktisat dergisi,Istanbul Journal of Economics / İstanbul İktisat Dergisi
paripex-indian journal of research,PARIPEX-INDIAN JOURNAL OF RESEARCH
cancer imaging,Cancer Imaging
optics communications,Optics Communications
college literature,College Literature
cardiovascular intervention and therapeutics,Cardiovascular Intervention and Therapeutics
dental journal,Dental journal
business and economic research,Business and Economic Research
2020 the 4th international conference on business and information management,2020 The 4th International Conference on Business and Information Management
mining industry journal (gornay promishlennost),Mining Industry Journal (Gornay Promishlennost)
journal of oncology,Journal of Oncology
teorìâ ta metodika fìzičnogo vihovannâ,Teorìâ ta Metodika Fìzičnogo Vihovannâ
international journal of environment and climate change,International Journal of Environment and Climate Change
the creolization of theory,The Creolization of Theory
revista tecnología en marcha,Revista Tecnología en Marcha
eurasian journal of applied biotechnology,Eurasian journal of applied biotechnology
revista bibliomar,Revista Bibliomar
medical herald of the south of russia,Medical Herald of the South of Russia
emergent materials,Emergent Materials
endocrinology,Endocrinology
international journal of pharmaceutics,International journal of pharmaceutics
progress in electromagnetics research letters,Progress In Electromagnetics Research Letters
journal of food measurement & characterization,Journal of Food Measurement & Characterization
catena,CATENA
pathogens,Pathogens
medical journal of the islamic republic of iran,Medical Journal of The Islamic Republic of Iran
the journal of nursery education,The Journal of Nursery Education
agile auditing,Agile Auditing
cell & bioscience,Cell & Bioscience
environmental research communications,Environmental Research Communications
indian journal of transplantation,Indian Journal of Transplantation
revista de la sociedad entomológica argentina,Revista de la Sociedad Entomológica Argentina
intertextual explorations in deuterocanonical and cognate literature,Intertextual Explorations in Deuterocanonical and Cognate Literature
trials,Trials
journal of project management practice,Journal of Project Management Practice
journal of business-to-business marketing,Journal of Business-to-Business Marketing
european journal of soil science,European Journal of Soil Science
applied physics a,Applied Physics A
international journal of business technology and organizational behavior (ijbtob),International Journal of Business Technology and Organizational Behavior (IJBTOB)
journal of thoracic disease,Journal of Thoracic Disease
journal of the american medical association (jama),Journal of the American Medical Association (JAMA)
agroforestry systems,Agroforestry Systems
archives of gerontology and geriatrics (print),Archives of gerontology and geriatrics (Print)
frontiers in neuroscience,Frontiers in Neuroscience
global heart,Global Heart
renewable energy,Renewable Energy
international conference on optical communications and networks,International Conference on Optical Communications and Networks
photonics,Photonics
ieee transactions on computers,IEEE transactions on computers
revista de economía y estadística,Revista de Economía y Estadística
down from olympus,Down from Olympus
british journal of pharmacology,British Journal of Pharmacology
the european physical journal special topics,The European Physical Journal Special Topics
"clinical respiratory physiology, exercise and functional imaging","Clinical respiratory physiology, exercise and functional imaging"
journal of geophysical research: space physics,Journal of Geophysical Research: Space Physics
international journal of academic research in economics and management sciences,International Journal of Academic Research in Economics and Management Sciences
optics express,Optics Express
cancer management and research,Cancer Management and Research
the international journal of cardiovascular imaging,The International Journal of Cardiovascular Imaging
"african journal of hospitality, tourism and leisure","African Journal of Hospitality, Tourism and Leisure"
jurnal perspektif pembiayaan dan pembangunan daerah,Jurnal Perspektif Pembiayaan dan Pembangunan Daerah
acs photonics,ACS Photonics
star protocols,STAR Protocols
f&s reports,F&S Reports
the godman and the sea,The Godman and the Sea
national association of korean local government studies,National Association of Korean Local Government Studies
current reviews in musculoskeletal medicine,Current Reviews in Musculoskeletal Medicine
annals of public health reports,Annals of Public Health Reports
developments in petroleum science,Developments in Petroleum Science
brics law journal,BRICS Law Journal
information management and business review,Information Management and Business Review
crustaceana,Crustaceana
european heart journal-cardiovascular imaging,European Heart Journal-Cardiovascular Imaging
communications biology,Communications Biology
administrative law,Administrative Law
current rheumatology reviews,Current Rheumatology Reviews
journal of the american society of nephrology,Journal of the American Society of Nephrology
2023 2nd international symposium on aerospace engineering and systems (isaes),2023 2nd International Symposium on Aerospace Engineering and Systems (ISAES)
age of empires,Age of Empires
materials,Materials
językoznawstwo,Językoznawstwo
"research in agriculture, livestock and fisheries","Research in Agriculture, Livestock and Fisheries"
mathematical methods in the applied sciences,Mathematical methods in the applied sciences
asian pacific journal of allergy and immunology,Asian Pacific Journal of Allergy and Immunology
corporate law & governance review,Corporate Law & Governance Review
fermentation,Fermentation
the law of international organisations (third edition),The law of international organisations (third edition)
aerospace,Aerospace
"the complete letters of henry james, 1884–1886","The Complete Letters of Henry James, 1884–1886"
frontiers in cardiovascular medicine,Frontiers in Cardiovascular Medicine
sexual medicine,Sexual Medicine
reviews on recent clinical trials,Reviews on recent clinical trials
international journal of endocrinology,International Journal of Endocrinology
kvasny prumysl,Kvasny Prumysl
jurnal biologi tropis,JURNAL BIOLOGI TROPIS
optical engineering: the journal of spie,Optical Engineering: The Journal of SPIE
technology analysis & strategic management,Technology Analysis & Strategic Management
international journal of current microbiology and applied sciences,International Journal of Current Microbiology and Applied Sciences
hiv/aids,HIV/AIDS
journal of sustainable finance & investment,Journal of Sustainable Finance & Investment
clinical nutrition,Clinical Nutrition
international journal of vehicle structures and systems,International Journal of Vehicle Structures and Systems
"studies in systems, decision and control","Studies in Systems, Decision and Control"
international soil and water conservation research,International Soil and Water Conservation Research
reactions weekly,Reactions weekly
journal of physical chemistry c,Journal of Physical Chemistry C
addiction,Addiction
"international journal of case studies in business, it, and education","International journal of case studies in business, IT, and education"
african health sciences,African Health Sciences
journal of pharmacognosy and phytochemistry,Journal of Pharmacognosy and Phytochemistry
journal of clinical studies &amp; medical case reports,Journal of Clinical Studies &amp; Medical Case Reports
trendovi u poslovanju,Trendovi u Poslovanju
the bone & joint journal,The Bone & Joint Journal
surgical and radiologic anatomy,Surgical and Radiologic Anatomy
ieee transactions on energy conversion,IEEE transactions on energy conversion
pediatria polska,Pediatria Polska
bmc cardiovascular disorders,BMC Cardiovascular Disorders
vestnik of kostroma state university. series: pedagogy. psychology. sociokinetics,Vestnik of Kostroma State University. Series: Pedagogy. Psychology. Sociokinetics
clinical obesity,Clinical Obesity
international journal of tropical insect science,International Journal of Tropical Insect Science
under the black umbrella,Under the Black Umbrella
skin pharmacology and physiology,Skin Pharmacology and Physiology
nature,Nature
journal of plant research,Journal of plant research
surgery for obesity and related diseases,Surgery for Obesity and Related Diseases
vestnik of ulyanovsk state agricultural academy,Vestnik of Ulyanovsk state agricultural academy
journal of pediatric research,Journal of Pediatric Research
jurnal nasional teknologi terapan (jntt),Jurnal Nasional Teknologi Terapan (JNTT)
european journal of radiology,European Journal of Radiology
microbial pathogenesis,Microbial Pathogenesis
europace,Europace
ieee photonics journal,IEEE Photonics Journal
ieee transactions on signal processing,IEEE Transactions on Signal Processing
life,Life
optical technologies for telecommunications,Optical Technologies for Telecommunications
journal of mid-life health,Journal of Mid-Life Health
international journal on engineering technology and infrastructure development,International Journal on Engineering Technology and Infrastructure Development
"2023 2nd international conference on electronics, energy and measurement (ic2em)","2023 2nd International Conference on Electronics, Energy and Measurement (IC2EM)"
tarım bilimleri dergisi,Tarım Bilimleri Dergisi
uzhhorod national university herald. series: law,Uzhhorod National University Herald. Series: Law
international journal of financial studies,International Journal of Financial Studies
alzheimer's &amp; dementia,Alzheimer's &amp; Dementia
crimea journal of experimental and clinical medicine,Crimea Journal of Experimental and Clinical Medicine
lancet psychiatry,Lancet psychiatry
"ear, nose, & throat journal","Ear, nose, & throat journal"
polish archives of internal medicine,Polish Archives of Internal Medicine
in from the cold,In from the Cold
stochastic environmental research and risk assessment (print),Stochastic environmental research and risk assessment (Print)
journal of 108 - clinical medicine and phamarcy,Journal of 108 - Clinical Medicine and Phamarcy
ieee networking letters,IEEE Networking Letters
journal of ophthalmology,Journal of Ophthalmology
asian food science journal,Asian Food Science Journal
polymers,Polymers
journal of physical chemistry a,Journal of Physical Chemistry A
nutrix journal,Nutrix Journal
international journal of climatology,International Journal of Climatology
world journal of urology,World journal of urology
american journal of health promotion,American Journal of Health Promotion
karimah tauhid,Karimah Tauhid
the courtesan and the gigolo,The Courtesan and the Gigolo
microbial ecology of wastewater treatment plants,Microbial Ecology of Wastewater Treatment Plants
biosensors,Biosensors
journal of diabetes and its complications,Journal of diabetes and its complications
aerosol and air quality research,Aerosol and Air Quality Research
cardiology journal,Cardiology Journal
exercise science,Exercise Science
journal of manipulative and physiological therapeutics,Journal of Manipulative and Physiological Therapeutics
journal of international society of preventive and community dentistry,Journal of International Society of Preventive and Community Dentistry
sleep medicine research,Sleep Medicine Research
aquaculture research,Aquaculture Research
applied economics,Applied Economics
european physical journal b : condensed matter physics,European Physical Journal B : Condensed Matter Physics
journal of nutrilife,Journal of NutriLife
gastroenterology,Gastroenterology
nutrition research,Nutrition Research
clinical pharmacokinetics,Clinical Pharmacokinetics
monthly notices of the royal astronomical society,Monthly notices of the Royal Astronomical Society
mayo clinic proceedings,Mayo Clinic proceedings
2019 devices for integrated circuit (devic),2019 Devices for Integrated Circuit (DevIC)
toxicology reports,Toxicology Reports
2024 4th international conference on energy engineering and power systems (eeps),2024 4th International Conference on Energy Engineering and Power Systems (EEPS)
amino acids,Amino Acids
"tp3. tp003 covid-19 infections, mechanisms, and clinical implications","TP3. TP003 COVID-19 INFECTIONS, MECHANISMS, AND CLINICAL IMPLICATIONS"
journal of contemporary ethnography,Journal of contemporary ethnography
journal of information systems and informatics,Journal of Information Systems and Informatics
journal of pediatric surgery,Journal of Pediatric Surgery
epilepsia,Epilepsia
iraqi journal of veterinary sciences,Iraqi Journal of Veterinary Sciences
journal of geriatric oncology,Journal of Geriatric Oncology
international journal of obesity,International Journal of Obesity
international journal of food science,International journal of food Science
oil crops,Oil Crops
far eastern affairs,Far Eastern Affairs
l orthodontie française,l Orthodontie Française
children,Children
journal of thermal science and engineering apllications,Journal of Thermal Science and Engineering Apllications
"2024 ieee asia-pacific conference on geoscience, electronics and remote sensing technology (agers)","2024 IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology (AGERS)"
suicide voices,Suicide Voices
bulletin of the academy of sciences of moldova. medical sciences,Bulletin of the Academy of Sciences of Moldova. Medical Sciences
sustainability in debate,Sustainability in Debate
disease and democracy,Disease and Democracy
plos medicine,PLoS Medicine
ecological indicators,Ecological Indicators
journal of applied sports sciences,Journal of Applied Sports Sciences
biology of reproduction,Biology of Reproduction
innovations in agriculture,Innovations in Agriculture
kormlenie sel'skohozjajstvennyh zhivotnyh i kormoproizvodstvo (feeding of agricultural animals and feed production),Kormlenie sel'skohozjajstvennyh zhivotnyh i kormoproizvodstvo (Feeding of agricultural animals and feed production)
international journal of business intelligence and data mining,International Journal of Business Intelligence and Data Mining
toxins,Toxins
international days of statistics and economics 2019,International Days of Statistics and Economics 2019
south asian journal of agriculture,South Asian Journal of Agriculture
gastroenterology report,Gastroenterology Report
"journal of agriculture, food and environment","Journal of Agriculture, Food and Environment"
frontiers in endocrinology,Frontiers in Endocrinology
dinamik,Dinamik
medical alphabet,Medical alphabet
journal of korean neurosurgical society,Journal of Korean Neurosurgical Society
european food research and technology,European Food Research and Technology
journal of clinical neuroscience,Journal of clinical neuroscience
pelita teknologi,Pelita Teknologi
jurnal radiologi dentomaksilofasial indonesia,Jurnal Radiologi Dentomaksilofasial Indonesia
springer theses,Springer Theses
ieee transactions on industrial electronics (1982. print),IEEE transactions on industrial electronics (1982. Print)
magnetic resonance in medical sciences,Magnetic Resonance in Medical Sciences
international conference on electronic packaging technology,International Conference on Electronic Packaging Technology
j. complex networks,J. Complex Networks
results in optics,Results in Optics
geriatrics gerontology and aging,Geriatrics Gerontology and Aging
frontiers in anesthesiology,Frontiers in Anesthesiology
international journal of population data science,International Journal of Population Data Science
medical reference services quarterly,Medical Reference Services Quarterly
mountain journal of science and interdisciplinary research (formerly benguet state university research journal),Mountain Journal of Science and Interdisciplinary Research (formerly Benguet State University Research Journal)
pharmacia,Pharmacia
journal of medical sciences,Journal of Medical Sciences
nonlinear evolution equations,Nonlinear Evolution Equations
archiv der pharmazie,Archiv der Pharmazie
"who should pay? higher education, responsibility, and the public","Who Should Pay? Higher Education, Responsibility, and the Public"
micron,Micron
assay and drug development technologies,Assay and drug development technologies
journal of bodywork & movement therapies,Journal of Bodywork & Movement Therapies
constitutional revolution,Constitutional Revolution
